value	icv	crb	lobes	basalGanglia	subcortical	midline	cerebralCortex	nonbrain	hemi	tissue	renum
4	1	0	0	0	0	0	0	1	1	0	1
5	1	0	0	0	0	0	0	3	1	0	2
7	2	2	0	0	0	0	0	0	1	2	3
8	2	2	0	0	0	0	0	0	1	1	4
10	2	1	0	0	1	0	0	0	1	1	5
11	2	1	0	1	0	0	0	0	1	1	6
12	2	1	0	2	0	0	0	0	1	1	7
13	2	1	0	3	0	0	0	0	1	1	8
15	1	0	0	0	0	0	0	5	0	0	9
16	2	0	0	0	0	3	0	0	0	0	10
17	2	1	2	0	3	0	0	0	1	1	11
18	2	1	2	0	4	0	0	0	1	1	12
24	1	0	0	0	0	0	0	6	0	0	13
26	2	1	0	4	0	0	0	0	1	1	14
28	2	1	0	0	2	0	0	0	1	2	15
31	1	0	0	0	0	0	0	7	1	0	16
43	1	0	0	0	0	0	0	2	2	0	17
44	1	0	0	0	0	0	0	4	2	0	18
46	2	2	0	0	0	0	0	0	2	2	19
47	2	2	0	0	0	0	0	0	2	1	20
49	2	1	0	0	1	0	0	0	2	1	21
50	2	1	0	1	0	0	0	0	2	1	22
51	2	1	0	2	0	0	0	0	2	1	23
52	2	1	0	3	0	0	0	0	2	1	24
53	2	1	2	0	3	0	0	0	2	1	25
54	2	1	2	0	4	0	0	0	2	1	26
58	2	1	0	4	0	0	0	0	2	1	27
60	2	1	0	0	2	0	0	0	2	2	28
63	1	0	0	0	0	0	0	8	2	0	29
85	1	0	0	0	0	0	0	9	0	0	30
98	1	0	0	0	0	0	0	10	0	0	31
128	1	0	0	0	0	0	0	11	0	0	32
251	2	1	0	0	0	1	0	0	0	2	33
252	2	1	0	0	0	1	0	0	0	2	34
253	2	1	0	0	0	1	0	0	0	2	35
254	2	1	0	0	0	1	0	0	0	2	36
255	2	1	0	0	0	1	0	0	0	2	37
999	1	0	0	0	0	0	0	0	0	0	38
1000	2	1	1	0	0	0	53	0	1	1	39
1002	2	1	1	0	0	0	2	0	1	1	40
1005	2	1	4	0	0	0	4	0	1	1	41
1006	2	1	2	0	0	0	5	0	1	1	42
1007	2	1	2	0	0	0	8	0	1	1	43
1008	2	1	3	0	0	0	10	0	1	1	44
1009	2	1	2	0	0	0	11	0	1	1	45
1010	2	1	3	0	0	0	13	0	1	1	46
1011	2	1	4	0	0	0	14	0	1	1	47
1012	2	1	1	0	0	0	15	0	1	1	48
1013	2	1	4	0	0	0	16	0	1	1	49
1014	2	1	1	0	0	0	18	0	1	1	50
1015	2	1	2	0	0	0	22	0	1	1	51
1016	2	1	2	0	0	0	26	0	1	1	52
1017	2	1	1	0	0	0	25	0	1	1	53
1018	2	1	1	0	0	0	28	0	1	1	54
1019	2	1	1	0	0	0	29	0	1	1	55
1020	2	1	1	0	0	0	30	0	1	1	56
1021	2	1	4	0	0	0	31	0	1	1	57
1022	2	1	3	0	0	0	33	0	1	1	58
1024	2	1	1	0	0	0	37	0	1	1	59
1025	2	1	3	0	0	0	38	0	1	1	60
1026	2	1	1	0	0	0	39	0	1	1	61
1027	2	1	1	0	0	0	40	0	1	1	62
1028	2	1	1	0	0	0	45	0	1	1	63
1029	2	1	3	0	0	0	47	0	1	1	64
1030	2	1	2	0	0	0	48	0	1	1	65
1031	2	1	3	0	0	0	50	0	1	1	66
1032	2	1	1	0	0	0	7	0	1	1	67
1033	2	1	2	0	0	0	51	0	1	1	68
1034	2	1	2	0	0	0	52	0	1	1	69
1035	2	1	1	0	0	0	12	0	1	1	70
1116	2	1	4	0	0	0	46	0	1	1	71
1129	2	1	1	0	0	0	44	0	1	1	72
2000	2	1	1	0	0	0	53	0	2	1	73
2002	2	1	1	0	0	0	2	0	2	1	74
