value   label
2   cerebrum_wm_left
3   cerebrum_gm_left
4   lateral_ventricle_left
5   inferior_lateral_ventricle_left
7   cerebellum_wm_left
8   cerebellum_gm_left
10  thalamus_left
11  caudate_left
12  putamen_left
13  pallidum_left
14  ventricle_3
15  ventricle_4
16  brainstem
17  hippocampus_left
18  amygdala_left
24  csf
26  accumbens_left
28  ventral_diencephalon_left
30  vessel_left
31  choroid_plexus_left
41  cerebrum_wm_right
42  cerebrum_gm_right
43  lateral_ventricle_right
44  inferior_lateral_ventricle_right
46  cerebellum_wm_right
47  cerebellum_gm_right
49  thalamus_right
50  caudate_right
51  putamen_right
52  pallidum_right
53  hippocampus_right
54  amygdala_right
58  accumbens_right
60  ventral_diencephalon_right
62  vessel_right
63  choroid_plexus_right
85  optic_chiasm
99  wm_hyperintensity
165 skull
258 head
259 eyes
