value label	orig_label	label_short	label_short_hemi	hemisphere	tissue	major_compartment	compartment	roi_order	roi_group	label_group
1	orbital_cortex_dorsolateral_left	260	ORBdl	ORBdl_left	left	gm	cerebrum	orbital cortex	1	1	orbital cortex left
2	orbital_cortex_lateral_left	267	ORBl	ORBl_left	left	gm	cerebrum	orbital cortex	2	1	orbital cortex left
3	orbital_cortex_medial_left	272	ORBm	ORBm_left	left	gm	cerebrum	orbital cortex	3	1	orbital cortex left
4	orbital_cortex_ventral_left	300	ORBv	ORBv_left	left	gm	cerebrum	orbital cortex	4	1	orbital cortex left
5	tenia_tecta_dorsal_left	261	ENTttd	ENTttd_left	left	gm	cerebrum	orbital cortex	5	1	orbital cortex left
6	tenia_tecta_ventral_left	301	TTv	TTv_left	left	gm	cerebrum	orbital cortex	6	1	orbital cortex left
7	subependymal_zone_left	140	SZ	SZ_left	left	gm	cerebrum	frontal cortex	7	2	frontal cortex left
8	frontal_cortex_area3_left	263	FR3	FR3_left	left	gm	cerebrum	frontal cortex	8	2	frontal cortex left
9	frontal_cortex_association_left	264	FrA	FrA_left	left	gm	cerebrum	frontal cortex	9	2	frontal cortex left
10	parietal_cortex_lateral_association_left	268	PtA	PtA_left	left	gm	cerebrum	parietal cortex	10	3	parietal cortex left
11	parietal_cortex_medial_association_left	273	Ptma	Ptma_left	left	gm	cerebrum	parietal cortex	11	3	parietal cortex left
12	parietal_cortex_rostral_posterior_association_left	278	Ptrpa	Ptrpa_left	left	gm	cerebrum	parietal cortex	12	3	parietal cortex left
13	temporal_cortex_association_left	290	TeA	TeA_left	left	gm	cerebrum	temporal cortex	13	4	temporal cortex left
14	cingulate_area24a_left	169	CG24a	CG24a_left	left	gm	cerebrum	cingulate cortex	14	5	cingulate cortex left
15	cingulate_area24a_prime_left	171	CG24ap	CG24ap_left	left	gm	cerebrum	cingulate cortex	15	5	cingulate cortex left
16	cingulate_area24b_left	172	CG24b	CG24b_left	left	gm	cerebrum	cingulate cortex	16	5	cingulate cortex left
17	cingulate_area24b_prime_left	173	CG24b'	CG24b'_left	left	gm	cerebrum	cingulate cortex	17	5	cingulate cortex left
18	cingulate_area25_left	178	CG25	CG25_left	left	gm	cerebrum	cingulate cortex	18	5	cingulate cortex left
19	cingulate_area29a_left	179	CG29a	CG29a_left	left	gm	cerebrum	cingulate cortex	19	5	cingulate cortex left
20	cingulate_area29b_left	182	CG29b	CG29b_left	left	gm	cerebrum	cingulate cortex	20	5	cingulate cortex left
21	cingulate_area29c_left	184	CG29c	CG29c_left	left	gm	cerebrum	cingulate cortex	21	5	cingulate cortex left
22	cingulate_area30_left	186	CG30	CG30_left	left	gm	cerebrum	cingulate cortex	22	5	cingulate cortex left
23	cingulate_area32_left	188	CG32	CG32_left	left	gm	cerebrum	cingulate cortex	23	5	cingulate cortex left
24	claustrum_anterior_left	235	CLa	CLa_left	left	gm	cerebrum	claustrum	24	6	claustrum left
25	claustrum_dorsal_left	256	CLd	CLd_left	left	gm	cerebrum	claustrum	25	6	claustrum left
26	claustrum_dorsal_endopiriform_nucleus_left	257	ENPd	ENPd_left	left	gm	cerebrum	claustrum	26	6	claustrum left
27	claustrum_endopiriform_left	265	CLendo	CLendo_left	left	gm	cerebrum	claustrum	27	6	claustrum left
28	claustrum_ventral_left	297	CLv	CLv_left	left	gm	cerebrum	claustrum	28	6	claustrum left
29	claustrum_endopiriform_ventral_nucleus_left	298	CLendovn	CLendovn_left	left	gm	cerebrum	claustrum	29	6	claustrum left
30	insula_left	266	INS	INS_left	left	gm	cerebrum	insula	30	7	insula left
31	piriform_cortex_left	274	PIR	PIR_left	left	gm	cerebrum	sensory olfactory	31	8	sensory olfactory left
32	olfactory_bulb_glomerular_left	345	OBgl	OBgl_left	left	gm	cerebrum	sensory olfactory	32	8	sensory olfactory left
33	olfactory_bulb_external_plexiform_left	346	OBep	OBep_left	left	gm	cerebrum	sensory olfactory	33	8	sensory olfactory left
34	olfactory_bulb_mitral_left	347	OBm	OBm_left	left	gm	cerebrum	sensory olfactory	34	8	sensory olfactory left
35	olfactory_bulb_internal_plexiform_left	348	OBip	OBip_left	left	gm	cerebrum	sensory olfactory	35	8	sensory olfactory left
36	olfactory_bulb_granular_left	349	OBgr	OBgr_left	left	gm	cerebrum	sensory olfactory	36	8	sensory olfactory left
37	anterior_olfactory_nucleus_left	352	AO	AO_left	left	gm	cerebrum	sensory olfactory	37	8	sensory olfactory left
38	olfactory_peduncle_left	105	OP	OP_left	left	gm	cerebrum	sensory olfactory	38	8	sensory olfactory left
39	olfactory_tubercle_left	145	OTu	OTu_left	left	gm	cerebrum	sensory olfactory	39	8	sensory olfactory left
40	lateral_olfactory_tract_left	102	lo	lo_left	left	wm	cerebrum	sensory olfactory	40	8	sensory olfactory left
41	accessory_olfactory_bulb_glomerular_layer_left	350	ABgl	ABgl_left	left	gm	cerebrum	sensory olfactory accessory	41	9	sensory olfactory accessory left
42	accessory_olfactory_bulb_granular_layer_left	351	ABg	ABg_left	left	gm	cerebrum	sensory olfactory accessory	42	9	sensory olfactory accessory left
43	primary_somatosensory_cortex_unspecified_left	280	S1u	S1u_left	left	gm	cerebrum	primary somatosensory cortex	43	10	primary somatosensory cortex left
44	primary_somatosensory_cortex_barrel_left	281	S1bf	S1bf_left	left	gm	cerebrum	primary somatosensory cortex	44	10	primary somatosensory cortex left
45	primary_somatosensory_cortex_dysgranular_left	282	S1dz	S1dz_left	left	gm	cerebrum	primary somatosensory cortex	45	10	primary somatosensory cortex left
46	primary_somatosensory_cortex_forelimb_left	283	S1fl	S1fl_left	left	gm	cerebrum	primary somatosensory cortex	46	10	primary somatosensory cortex left
47	primary_somatosensory_cortex_hindlimb_left	284	S1hl	S1hl_left	left	gm	cerebrum	primary somatosensory cortex	47	10	primary somatosensory cortex left
48	primary_somatosensory_cortex_jaw_left	285	S1j	S1j_left	left	gm	cerebrum	primary somatosensory cortex	48	10	primary somatosensory cortex left
49	primary_somatosensory_cortex_shoulder_left	286	S1s	S1s_left	left	gm	cerebrum	primary somatosensory cortex	49	10	primary somatosensory cortex left
50	primary_somatosensory_cortex_trunk_left	287	S1tr	S1tr_left	left	gm	cerebrum	primary somatosensory cortex	50	10	primary somatosensory cortex left
51	primary_somatosensory_cortex_upperlip_left	288	S1ul	S1ul_left	left	gm	cerebrum	primary somatosensory cortex	51	10	primary somatosensory cortex left
52	secondary_somatosensory_cortex_left	289	S2	S2_left	left	gm	cerebrum	somatosensory secondary cortex	52	11	secondary somatosensory cortex left
53	primary_auditory_cortex_left	208	A1	A1_left	left	gm	cerebrum	primary auditory cortex	53	12	primary auditory cortex left
54	secondary_auditory_cortex_dorsal_left	217	A2d	A2d_left	left	gm	cerebrum	secondary auditory cortex	54	13	secondary auditory cortex left
55	secondary_auditory_cortex_ventral_left	221	A2v	A2v_left	left	gm	cerebrum	secondary auditory cortex	55	13	secondary auditory cortex left
56	primary_visual_cortex_unspecified_left	291	V1u	V1u_left	left	gm	cerebrum	primary visual cortex	56	14	primary visual cortex left
57	primary_visual_cortex_binocular_left	292	V1b	V1b_left	left	gm	cerebrum	primary visual cortex	57	14	primary visual cortex left
58	primary_visual_cortex_monocular_left	293	V1m	V1m_left	left	gm	cerebrum	primary visual cortex	58	14	primary visual cortex left
59	secondary_visual_cortex_lateral_left	294	V2l	V2l_left	left	gm	cerebrum	secondary visual cortex	59	15	secondary visual cortex left
60	secondary_visual_cortex_mediolateral_left	295	V2ml	V2ml_left	left	gm	cerebrum	secondary visual cortex	60	15	secondary visual cortex left
61	secondary_visual_cortex_mediomedial_left	296	V2mm	V2mm_left	left	gm	cerebrum	secondary visual cortex	61	15	secondary visual cortex left
62	primary_motor_cortex_left	269	M1	M1_left	left	gm	cerebrum	motor cortex	62	16	motor cortex left
63	secondary_motor_cortex_left	270	M2	M2_left	left	gm	cerebrum	motor cortex	63	16	motor cortex left
64	striatum_left	17	CPu	CPu_left	left	gm	cerebrum	basal ganglia	64	17	basal ganglia left
65	globus_pallidus_left	144	GP	GP_left	left	gm	cerebrum	basal ganglia	65	17	basal ganglia left
66	striatum_fundus_left	154	FUND	FUND_left	left	gm	cerebrum	basal ganglia	66	17	basal ganglia left
67	nucleus_accumbens_left	155	NACC	NACC_left	left	gm	cerebrum	basal ganglia	67	17	basal ganglia left
68	entorhinal_cortex_caudomedial_left	227	ENTcm	ENTcm_left	left	gm	cerebrum	entorhinal cortex	68	18	entorhinal cortex left
69	entorhinal_cortex_dorsal_intermediate_left	258	ENTdi	ENTdi_left	left	gm	cerebrum	entorhinal cortex	69	18	entorhinal cortex left
70	entorhinal_cortex_dorsolateral_left	259	ENTdl	ENTdl_left	left	gm	cerebrum	entorhinal cortex	70	18	entorhinal cortex left
71	entorhinal_cortex_medial_left	271	ENTm	ENTm_left	left	gm	cerebrum	entorhinal cortex	71	18	entorhinal cortex left
72	entorhinal_cortex_ventral_intermediate_left	299	ENTvi	ENTvi_left	left	gm	cerebrum	entorhinal cortex	72	18	entorhinal cortex left
73	ectorhinal_cortex_left	262	ECT	ECT_left	left	gm	cerebrum	ectorhinal cortex	73	18	entorhinal cortex left
74	perirhinal_cortex_left	277	PRh	PRh_left	left	gm	cerebrum	perirhinal cortex	74	18	entorhinal cortex left
75	subiculum_pre_para_left	131	Spp	Spp_left	left	gm	cerebrum	hippocampus extended	75	19	hippocampus extended left
76	subiculum_left	333	S	S_left	left	gm	cerebrum	hippocampus extended	76	19	hippocampus extended left
77	hippocampus_CA1_stratum_oriens_left	305	CA1or	CA1or_left	left	gm	cerebrum	hippocampus CA1	77	20	hippocampus CA1 left
78	hippocampus_CA1_stratum_lacunosum_moleculare_left	307	CA1lm	CA1lm_left	left	gm	cerebrum	hippocampus CA1	78	20	hippocampus CA1 left
79	hippocampus_CA1_stratum_radiatum_left	309	CA1rad	CA1rad_left	left	gm	cerebrum	hippocampus CA1	79	20	hippocampus CA1 left
80	hippocampus_CA1_pyramidal_left	335	CA1py	CA1py_left	left	gm	cerebrum	hippocampus CA1	80	20	hippocampus CA1 left
81	hippocampus_CA2_pyramidal_left	311	CA2py	CA2py_left	left	gm	cerebrum	hippocampus CA2	81	21	hippocampus CA2 left
82	hippocampus_CA2_stratum_oriens_left	313	CA2or	CA2or_left	left	gm	cerebrum	hippocampus CA2	82	21	hippocampus CA2 left
83	hippocampus_CA2_stratum_radiatum_left	315	CA2rad	CA2rad_left	left	gm	cerebrum	hippocampus CA2	83	21	hippocampus CA2 left
84	hippocampus_CA3_inner_pyramidal_left	317	CA3ipy	CA3ipy_left	left	gm	cerebrum	hippocampus CA3	84	22	hippocampus CA3 left
85	hippocampus_CA3_outer_pyramidal_left	319	CA3opy	CA3opy_left	left	gm	cerebrum	hippocampus CA3	85	22	hippocampus CA3 left
86	hippocampus_CA3_stratum_oriens_left	321	CA3or	CA3or_left	left	gm	cerebrum	hippocampus CA3	86	22	hippocampus CA3 left
87	hippocampus_CA3_stratum_radiatum_left	323	CA3rad	CA3rad_left	left	gm	cerebrum	hippocampus CA3	87	22	hippocampus CA3 left
88	hippocampus_CA3_stratum_lucidum_left	325	CA3sl	CA3sl_left	left	gm	cerebrum	hippocampus CA3	88	22	hippocampus CA3 left
89	hippocampus_dentate_gyrus_molecular_left	327	DGm	DGm_left	left	gm	cerebrum	hippocampus dentate	89	23	hippocampus dentate left
90	hippocampus_dentate_gyrus_granular_external_left	329	DGgre	DGgre_left	left	gm	cerebrum	hippocampus dentate	90	23	hippocampus dentate left
91	hippocampus_dentate_gyrus_granular_internal_left	331	DGgri	DGgri_left	left	gm	cerebrum	hippocampus dentate	91	23	hippocampus dentate left
92	amygdala_lateral_left	151	lAMG	lAMG_left	left	gm	cerebrum	amygdala	92	24	amygdala left
93	amygdala_medial_left	355	mAMG	mAMG_left	left	gm	cerebrum	amygdala	93	24	amygdala left
94	amygdalopiriform_transition_area_left	189	Apir	Apir_left	left	gm	cerebrum	amygdala extended	94	25	amygdala extended left
95	bed_nucleus_stria_terminalis_left	76	BST	BST_left	left	gm	cerebrum	amygdala extended	95	25	amygdala extended left
96	corticoamygdalar_transition_zone_left	255	CATZ	CATZ_left	left	gm	cerebrum	amygdala extended	96	25	amygdala extended left
97	corticoamygdaloid_area_posterolateral_left	275	cxAMGpl	cxAMGpl_left	left	gm	cerebrum	amygdala extended	97	25	amygdala extended left
98	corticoamygdaloid_area_posteromedial_left	276	csAMGpm	csAMGpm_left	left	gm	cerebrum	amygdala extended	98	25	amygdala extended left
99	rostral_amygdalopiriform_area_left	279	rAMGPIR	rAMGPIR_left	left	gm	cerebrum	amygdala extended	99	25	amygdala extended left
100	basal_forebrain_left	152	VP	VP_left	left	gm	cerebrum	septal nuclei	100	26	septal nuclei left
101	lateral_septum_left	107	SEPTl	SEPTl_left	left	gm	cerebrum	septal nuclei	101	26	septal nuclei left
102	medial_septum_left	153	SEPTm	SEPTm_left	left	gm	cerebrum	septal nuclei	102	26	septal nuclei left
103	thalamus_left	4	Thal	Thal_left	left	gm	cerebrum	thalamus	103	27	thalamus left
104	hypothalamus_left	150	Hypo	Hypo_left	left	gm	cerebrum	hypothalamus	104	27.5	hypothalamus left
105	mammilary_body_left	61	MB	MB_left	left	gm	cerebrum	hypothalamus	105	27.5	hypothalamus left
106	medial_preoptic_nucleus_left	356	MPA	MPA_left	left	gm	cerebrum	hypothalamus	106	27.5	hypothalamus left
107	fimbria_left	11	fi	fi_left	left	wm	cerebrum	wm	107	29	wm left
108	internal_capsule_left	12	ic	ic_left	left	wm	cerebrum	wm	108	29	wm left
109	cerebral_peduncle_left	14	cxp	cxp_left	left	wm	cerebrum	wm	109	29	wm left
110	fornix_left	22	f	f_left	left	wm	cerebrum	wm	110	29	wm left
111	corpus_callosum_left	68	cc	cc_left	left	wm	cerebrum	wm	111	29	wm left
112	anterior_commissure_pars_posterior_left	103	acp	acp_left	left	wm	cerebrum	wm	112	29	wm left
113	optic_tract_left	116	opt	opt_left	left	wm	cerebrum	wm	113	29	wm left
114	retroflexus_fasciculus_left	125	frf	frf_left	left	wm	cerebrum	wm	114	29	wm left
115	stria_terminalis_left	159	st	st_left	left	wm	cerebrum	wm	115	29	wm left
116	habenular_commissure_left	199	hbc	hbc_left	left	wm	cerebrum	wm	116	29	wm left
117	stria_medullaris_left	205	SM	SM_left	left	wm	cerebrum	wm	117	29	wm left
118	mammilothalamic_tract_left	212	mthal	mthal_left	left	wm	cerebrum	wm	118	29	wm left
