value	label
1	cerebrum_visual_central_extrastriate_1_left
2	cerebrum_visual_central_extrastriate_2_left
3	cerebrum_visual_central_extrastriate_3_left
4	cerebrum_visual_central_extrastriate_4_left
5	cerebrum_visual_central_extrastriate_5_left
6	cerebrum_visual_central_extrastriate_6_left
7	cerebrum_visual_central_striate_1_left
8	cerebrum_visual_central_extrastriate_7_left
9	cerebrum_visual_central_extrastriate_8_left
10	cerebrum_visual_central_extrastriate_9_left
11	cerebrum_visual_central_extrastriate_10_left
12	cerebrum_visual_central_extrastriate_11_left
13	cerebrum_visual_peripheral_inferior_extrastriate_1_left
14	cerebrum_visual_peripheral_inferior_extrastriate_2_left
15	cerebrum_visual_peripheral_inferior_extrastriate_3_left
16	cerebrum_visual_peripheral_inferior_extrastriate_4_left
17	cerebrum_visual_peripheral_inferior_extrastriate_5_left
18	cerebrum_visual_peripheral_calcarine_striate_1_left
19	cerebrum_visual_peripheral_calcarine_striate_2_left
20	cerebrum_visual_peripheral_superior_extrastriate_1_left
21	cerebrum_visual_peripheral_superior_extrastriate_2_left
22	cerebrum_visual_peripheral_superior_extrastriate_3_left
23	cerebrum_visual_peripheral_superior_extrastriate_4_left
24	cerebrum_visual_peripheral_superior_extrastriate_5_left
25	cerebrum_somatomotor_a_1_left
26	cerebrum_somatomotor_a_2_left
27	cerebrum_somatomotor_a_3_left
28	cerebrum_somatomotor_a_4_left
29	cerebrum_somatomotor_a_5_left
30	cerebrum_somatomotor_a_6_left
31	cerebrum_somatomotor_a_7_left
32	cerebrum_somatomotor_a_8_left
33	cerebrum_somatomotor_a_9_left
34	cerebrum_somatomotor_a_10_left
35	cerebrum_somatomotor_a_11_left
36	cerebrum_somatomotor_a_12_left
37	cerebrum_somatomotor_a_13_left
38	cerebrum_somatomotor_a_14_left
39	cerebrum_somatomotor_a_15_left
40	cerebrum_somatomotor_a_16_left
41	cerebrum_somatomotor_a_17_left
42	cerebrum_somatomotor_a_18_left
43	cerebrum_somatomotor_a_19_left
44	cerebrum_somatomotor_b_auditory_1_left
45	cerebrum_somatomotor_b_auditory_2_left
46	cerebrum_somatomotor_b_insula_1_left
47	cerebrum_somatomotor_b_s2_1_left
48	cerebrum_somatomotor_b_s2_2_left
49	cerebrum_somatomotor_b_auditory_3_left
50	cerebrum_somatomotor_b_auditory_4_left
51	cerebrum_somatomotor_b_s2_3_left
52	cerebrum_somatomotor_b_s2_4_left
53	cerebrum_somatomotor_b_s2_5_left
54	cerebrum_somatomotor_b_s2_6_left
55	cerebrum_somatomotor_b_central_1_left
56	cerebrum_somatomotor_b_central_2_left
57	cerebrum_somatomotor_b_central_3_left
58	cerebrum_somatomotor_b_central_4_left
59	cerebrum_somatomotor_b_central_5_left
60	cerebrum_dorsalAttention_a_temporoOccipital_1_left
61	cerebrum_dorsalAttention_a_temporoOccipital_2_left
62	cerebrum_dorsalAttention_a_temporoOccipital_3_left
63	cerebrum_dorsalAttention_a_temporoOccipital_4_left
64	cerebrum_dorsalAttention_a_parietoOccipital_1_left
65	cerebrum_dorsalAttention_a_parietoOccipital_2_left
66	cerebrum_dorsalAttention_a_superiorParietalLobule_1_left
67	cerebrum_dorsalAttention_a_superiorParietalLobule_2_left
68	cerebrum_dorsalAttention_a_superiorParietalLobule_3_left
69	cerebrum_dorsalAttention_a_superiorParietalLobule_4_left
70	cerebrum_dorsalAttention_a_superiorParietalLobule_5_left
71	cerebrum_dorsalAttention_a_superiorParietalLobule_6_left
72	cerebrum_dorsalAttention_a_superiorParietalLobule_7_left
73	cerebrum_dorsalAttention_b_postcentral_1_left
74	cerebrum_dorsalAttention_b_postcentral_2_left
75	cerebrum_dorsalAttention_b_postcentral_3_left
76	cerebrum_dorsalAttention_b_postcentral_4_left
77	cerebrum_dorsalAttention_b_postcentral_5_left
78	cerebrum_dorsalAttention_b_postcentral_6_left
79	cerebrum_dorsalAttention_b_postcentral_7_left
80	cerebrum_dorsalAttention_b_postcentral_8_left
81	cerebrum_dorsalAttention_b_postcentral_9_left
82	cerebrum_dorsalAttention_b_frontalEyeField_1_left
83	cerebrum_dorsalAttention_b_frontalEyeField_2_left
84	cerebrum_dorsalAttention_b_frontalEyeField_3_left
85	cerebrum_dorsalAttention_b_precentral_1_left
86	cerebrum_salienceVentralAttention_a_parietalOperculum_1_left
87	cerebrum_salienceVentralAttention_a_parietalOperculum_2_left
88	cerebrum_salienceVentralAttention_a_parietalOperculum_3_left
89	cerebrum_salienceVentralAttention_a_insula_1_left
90	cerebrum_salienceVentralAttention_a_insula_2_left
91	cerebrum_salienceVentralAttention_a_insula_3_left
92	cerebrum_salienceVentralAttention_a_insula_4_left
93	cerebrum_salienceVentralAttention_a_frontalOperculum_1_left
94	cerebrum_salienceVentralAttention_a_frontalOperculum_2_left
95	cerebrum_salienceVentralAttention_a_medialParietal_1_left
96	cerebrum_salienceVentralAttention_a_medialParietal_2_left
97	cerebrum_salienceVentralAttention_a_medialParietal_3_left
98	cerebrum_salienceVentralAttention_a_medialFrontal_1_left
99	cerebrum_salienceVentralAttention_a_medialFrontal_2_left
100	cerebrum_salienceVentralAttention_a_medialFrontal_3_left
101	cerebrum_salienceVentralAttention_b_lateralPrefrontal_1_left
102	cerebrum_salienceVentralAttention_b_lateralPrefrontal_2_left
103	cerebrum_salienceVentralAttention_b_lateralPrefrontal_3_left
104	cerebrum_salienceVentralAttention_b_insula_1_left
105	cerebrum_salienceVentralAttention_b_insula_2_left
106	cerebrum_salienceVentralAttention_b_insula_3_left
107	cerebrum_salienceVentralAttention_b_orbitofrontal_1_left
108	cerebrum_salienceVentralAttention_b_medialPrefrontal_1_left
109	cerebrum_limbic_b_orbitofrontal_1_left
110	cerebrum_limbic_b_orbitofrontal_2_left
111	cerebrum_limbic_b_orbitofrontal_3_left
112	cerebrum_limbic_b_orbitofrontal_4_left
113	cerebrum_limbic_b_orbitofrontal_5_left
114	cerebrum_limbic_a_temporalPole_1_left
115	cerebrum_limbic_a_temporalPole_2_left
116	cerebrum_limbic_a_temporalPole_3_left
117	cerebrum_limbic_a_temporalPole_4_left
118	cerebrum_limbic_a_temporalPole_5_left
119	cerebrum_limbic_a_temporalPole_6_left
120	cerebrum_limbic_a_temporalPole_7_left
121	cerebrum_control_a_temporal_1_left
122	cerebrum_control_a_inferiorParietalSulcus_1_left
123	cerebrum_control_a_inferiorParietalSulcus_2_left
124	cerebrum_control_a_inferiorParietalSulcus_3_left
125	cerebrum_control_a_inferiorParietalSulcus_4_left
126	cerebrum_control_a_inferiorParietalSulcus_5_left
127	cerebrum_control_a_dorsalPrefrontal_1_left
128	cerebrum_control_a_lateroventralPrefrontal_1_left
129	cerebrum_control_a_lateroventralPrefrontal_2_left
130	cerebrum_control_a_lateralPrefrontal_1_left
131	cerebrum_control_a_lateralPrefrontal_2_left
132	cerebrum_control_a_lateralPrefrontal_3_left
133	cerebrum_control_a_middleCingulate_1_left
134	cerebrum_control_b_temporal_1_left
135	cerebrum_control_b_temporal_2_left
136	cerebrum_control_b_inferiorParietalLobule_1_left
137	cerebrum_control_b_inferiorParietalLobule_2_left
138	cerebrum_control_b_inferiorParietalLobule_3_left
139	cerebrum_control_b_dorsalPrefrontal_1_left
140	cerebrum_control_b_lateroventralPrefrontal_1_left
141	cerebrum_control_b_lateroventralPrefrontal_2_left
142	cerebrum_control_b_lateroventralPrefrontal_3_left
143	cerebrum_control_b_dorsomedialPrefrontal_1_left
144	cerebrum_control_c_precuneus_1_left
145	cerebrum_control_c_precuneus_2_left
146	cerebrum_control_c_precuneus_3_left
147	cerebrum_control_c_posteriorCingulate_1_left
148	cerebrum_control_c_posteriorCingulate_2_left
149	cerebrum_default_a_inferiorParietalLobule_1_left
150	cerebrum_default_a_inferiorParietalLobule_2_left
151	cerebrum_default_a_dorsalPrefrontal_1_left
152	cerebrum_default_a_dorsalPrefrontal_2_left
153	cerebrum_default_a_dorsalPrefrontal_3_left
154	cerebrum_default_a_precuneusPosteriorCingulate_1_left
155	cerebrum_default_a_precuneusPosteriorCingulate_2_left
156	cerebrum_default_a_precuneusPosteriorCingulate_3_left
157	cerebrum_default_a_precuneusPosteriorCingulate_4_left
158	cerebrum_default_a_precuneusPosteriorCingulate_5_left
159	cerebrum_default_a_precuneusPosteriorCingulate_6_left
160	cerebrum_default_a_precuneusPosteriorCingulate_7_left
161	cerebrum_default_a_medialPrefrontal_1_left
162	cerebrum_default_a_medialPrefrontal_2_left
163	cerebrum_default_a_medialPrefrontal_3_left
164	cerebrum_default_a_medialPrefrontal_4_left
165	cerebrum_default_a_medialPrefrontal_5_left
166	cerebrum_default_a_medialPrefrontal_6_left
167	cerebrum_default_b_temporal_1_left
168	cerebrum_default_b_temporal_2_left
169	cerebrum_default_b_temporal_3_left
170	cerebrum_default_b_temporal_4_left
171	cerebrum_default_b_temporal_5_left
172	cerebrum_default_b_temporal_6_left
173	cerebrum_default_b_inferiorParietalLobule_1_left
174	cerebrum_default_b_inferiorParietalLobule_2_left
175	cerebrum_default_b_dorsalPrefrontal_1_left
176	cerebrum_default_b_dorsalPrefrontal_2_left
177	cerebrum_default_b_dorsalPrefrontal_3_left
178	cerebrum_default_b_dorsalPrefrontal_4_left
179	cerebrum_default_b_dorsalPrefrontal_5_left
180	cerebrum_default_b_dorsalPrefrontal_6_left
181	cerebrum_default_b_lateralPrefrontal_1_left
182	cerebrum_default_b_lateralPrefrontal_2_left
183	cerebrum_default_b_ventralPrefrontal_1_left
184	cerebrum_default_b_ventralPrefrontal_2_left
185	cerebrum_default_b_ventralPrefrontal_3_left
186	cerebrum_default_b_ventralPrefrontal_4_left
187	cerebrum_default_b_ventralPrefrontal_5_left
188	cerebrum_default_c_inferiorParietalLobule_1_left
189	cerebrum_default_c_retrosplenial_1_left
190	cerebrum_default_c_retrosplenial_2_left
191	cerebrum_default_c_retrosplenial_3_left
192	cerebrum_default_c_parahippocampal_1_left
193	cerebrum_default_c_parahippocampal_2_left
194	cerebrum_default_c_parahippocampal_3_left
195	cerebrum_temporalParietal_1_left
196	cerebrum_temporalParietal_2_left
197	cerebrum_temporalParietal_3_left
198	cerebrum_temporalParietal_4_left
199	cerebrum_temporalParietal_5_left
200	cerebrum_temporalParietal_6_left
201	cerebrum_visual_central_extrastriate_1_right
202	cerebrum_visual_central_extrastriate_2_right
203	cerebrum_visual_central_extrastriate_3_right
204	cerebrum_visual_central_extrastriate_4_right
205	cerebrum_visual_central_extrastriate_5_right
206	cerebrum_visual_central_extrastriate_6_right
207	cerebrum_visual_central_striate_1_right
208	cerebrum_visual_central_extrastriate_7_right
209	cerebrum_visual_central_extrastriate_8_right
210	cerebrum_visual_central_extrastriate_9_right
211	cerebrum_visual_central_extrastriate_10_right
212	cerebrum_visual_central_extrastriate_11_right
213	cerebrum_visual_peripheral_inferior_extrastriate_1_right
214	cerebrum_visual_peripheral_inferior_extrastriate_2_right
215	cerebrum_visual_peripheral_inferior_extrastriate_3_right
216	cerebrum_visual_peripheral_inferior_extrastriate_4_right
217	cerebrum_visual_peripheral_inferior_extrastriate_5_right
218	cerebrum_visual_peripheral_calcarine_extrastriate_1_right
219	cerebrum_visual_peripheral_calcarine_extrastriate_2_right
220	cerebrum_visual_peripheral_superior_extrastriate_1_right
221	cerebrum_visual_peripheral_superior_extrastriate_2_right
222	cerebrum_visual_peripheral_superior_extrastriate_3_right
223	cerebrum_visual_peripheral_superior_extrastriate_4_right
224	cerebrum_somatomotor_a_1_right
225	cerebrum_somatomotor_a_2_right
226	cerebrum_somatomotor_a_3_right
227	cerebrum_somatomotor_a_4_right
228	cerebrum_somatomotor_a_5_right
229	cerebrum_somatomotor_a_6_right
230	cerebrum_somatomotor_a_7_right
231	cerebrum_somatomotor_a_8_right
232	cerebrum_somatomotor_a_9_right
233	cerebrum_somatomotor_a_10_right
234	cerebrum_somatomotor_a_11_right
235	cerebrum_somatomotor_a_12_right
236	cerebrum_somatomotor_a_13_right
237	cerebrum_somatomotor_a_14_right
238	cerebrum_somatomotor_a_15_right
239	cerebrum_somatomotor_a_16_right
240	cerebrum_somatomotor_a_17_right
241	cerebrum_somatomotor_a_18_right
242	cerebrum_somatomotor_a_19_right
243	cerebrum_somatomotor_a_20_right
244	cerebrum_somatomotor_b_auditory_1_right
245	cerebrum_somatomotor_b_auditory_2_right
246	cerebrum_somatomotor_b_insula_1_right
247	cerebrum_somatomotor_b_s2_1_right
248	cerebrum_somatomotor_b_s2_2_right
249	cerebrum_somatomotor_b_auditory_3_right
250	cerebrum_somatomotor_b_s2_3_right
251	cerebrum_somatomotor_b_s2_4_right
252	cerebrum_somatomotor_b_s2_5_right
253	cerebrum_somatomotor_b_s2_6_right
254	cerebrum_somatomotor_b_s2_7_right
255	cerebrum_somatomotor_b_s2_8_right
256	cerebrum_somatomotor_b_central_1_right
257	cerebrum_somatomotor_b_central_2_right
258	cerebrum_somatomotor_b_central_3_right
259	cerebrum_dorsalAttention_a_temporoOccipital_1_right
260	cerebrum_dorsalAttention_a_temporoOccipital_2_right
261	cerebrum_dorsalAttention_a_temporoOccipital_3_right
262	cerebrum_dorsalAttention_a_parietoOccipital_1_right
263	cerebrum_dorsalAttention_a_parietoOccipital_2_right
264	cerebrum_dorsalAttention_a_parietoOccipital_3_right
265	cerebrum_dorsalAttention_a_superiorParietalLobule_1_right
266	cerebrum_dorsalAttention_a_superiorParietalLobule_2_right
267	cerebrum_dorsalAttention_a_superiorParietalLobule_3_right
268	cerebrum_dorsalAttention_a_superiorParietalLobule_4_right
269	cerebrum_dorsalAttention_a_superiorParietalLobule_5_right
270	cerebrum_dorsalAttention_a_superiorParietalLobule_6_right
271	cerebrum_dorsalAttention_a_superiorParietalLobule_7_right
272	cerebrum_dorsalAttention_a_superiorParietalLobule_8_right
273	cerebrum_dorsalAttention_b_temporoOccipital_1_right
274	cerebrum_dorsalAttention_b_postcentral_1_right
275	cerebrum_dorsalAttention_b_postcentral_2_right
276	cerebrum_dorsalAttention_b_postcentral_3_right
277	cerebrum_dorsalAttention_b_postcentral_4_right
278	cerebrum_dorsalAttention_b_postcentral_5_right
279	cerebrum_dorsalAttention_b_postcentral_6_right
280	cerebrum_dorsalAttention_b_postcentral_7_right
281	cerebrum_dorsalAttention_b_postcentral_8_right
282	cerebrum_dorsalAttention_b_frontalEyeField_1_right
283	cerebrum_dorsalAttention_b_frontalEyeField_2_right
284	cerebrum_dorsalAttention_b_frontalEyeField_3_right
285	cerebrum_salienceVentralAttention_a_parietalOperculum_1_right
286	cerebrum_salienceVentralAttention_a_parietalOperculum_2_right
287	cerebrum_salienceVentralAttention_a_parietalOperculum_3_right
288	cerebrum_salienceVentralAttention_a_preCentral_1_right
289	cerebrum_salienceVentralAttention_a_insula_1_right
290	cerebrum_salienceVentralAttention_a_insula_2_right
291	cerebrum_salienceVentralAttention_a_insula_3_right
292	cerebrum_salienceVentralAttention_a_insula_4_right
293	cerebrum_salienceVentralAttention_a_frontalOperculum_1_right
294	cerebrum_salienceVentralAttention_a_frontalOperculum_2_right
295	cerebrum_salienceVentralAttention_a_frontalOperculum_3_right
296	cerebrum_salienceVentralAttention_a_medialFrontal_1_right
297	cerebrum_salienceVentralAttention_a_medialParietal_1_right
298	cerebrum_salienceVentralAttention_a_medialParietal_2_right
299	cerebrum_salienceVentralAttention_a_medialFrontal_2_right
300	cerebrum_salienceVentralAttention_a_medialParietal_3_right
301	cerebrum_salienceVentralAttention_a_medialParietal_4_right
302	cerebrum_salienceVentralAttention_a_medialFrontal_3_right
303	cerebrum_salienceVentralAttention_a_medialFrontal_4_right
304	cerebrum_salienceVentralAttention_b_inferoriParietalLobule_1_right
305	cerebrum_salienceVentralAttention_b_lateroventralPrefrontal_1_right
306	cerebrum_salienceVentralAttention_b_lateralPrefrontal_1_right
307	cerebrum_salienceVentralAttention_b_lateralPrefrontal_2_right
308	cerebrum_salienceVentralAttention_b_lateralPrefrontal_3_right
309	cerebrum_salienceVentralAttention_b_insula_1_right
310	cerebrum_salienceVentralAttention_b_insula_2_right
311	cerebrum_salienceVentralAttention_b_dorsomedialPrefrontal_1_right
312	cerebrum_salienceVentralAttention_b_dorsomedialPrefrontal_2_right
313	cerebrum_limbic_b_orbitofrontal_1_right
314	cerebrum_limbic_b_orbitofrontal_2_right
315	cerebrum_limbic_b_orbitofrontal_3_right
316	cerebrum_limbic_b_orbitofrontal_4_right
317	cerebrum_limbic_b_orbitofrontal_5_right
318	cerebrum_limbic_a_orbitofrontal_6_right
319	cerebrum_limbic_a_temporalPole_1_right
320	cerebrum_limbic_a_temporalPole_2_right
321	cerebrum_limbic_a_temporalPole_3_right
322	cerebrum_limbic_a_temporalPole_4_right
323	cerebrum_limbic_a_temporalPole_5_right
324	cerebrum_limbic_a_temporalPole_6_right
325	cerebrum_control_a_inferiorParietalSulcus_1_right
326	cerebrum_control_a_inferiorParietalSulcus_2_right
327	cerebrum_control_a_inferiorParietalSulcus_3_right
328	cerebrum_control_a_inferiorParietalSulcus_4_right
329	cerebrum_control_a_dorsalPrefrontal_1_right
330	cerebrum_control_a_lateralPrefrontal_1_right
331	cerebrum_control_a_lateralPrefrontal_2_right
332	cerebrum_control_a_lateralPrefrontal_3_right
333	cerebrum_control_a_lateralPrefrontal_4_right
334	cerebrum_control_a_lateralPrefrontal_5_right
335	cerebrum_control_a_middleCingulate_1_right
336	cerebrum_control_b_temporal_1_right
337	cerebrum_control_b_temporal_2_right
338	cerebrum_control_b_inferiorParietalLobule_1_right
339	cerebrum_control_b_inferiorParietalLobule_2_right
340	cerebrum_control_b_inferiorParietalLobule_3_right
341	cerebrum_control_b_inferiorParietalLobule_4_right
342	cerebrum_control_b_dorsolateralPrefrontal_1_right
343	cerebrum_control_b_dorsolateralPrefrontal_2_right
344	cerebrum_control_b_dorsolateralPrefrontal_3_right
345	cerebrum_control_b_dorsolateralPrefrontal_4_right
346	cerebrum_control_b_ventrolateralPrefrontal_1_right
347	cerebrum_control_b_ventrolateralPrefrontal_2_right
348	cerebrum_control_b_ventrolateralPrefrontal_3_right
349	cerebrum_control_b_ventrolateralPrefrontal_4_right
350	cerebrum_control_b_dorsomedialPrefrontal_1_right
351	cerebrum_control_c_precuneus_1_right
352	cerebrum_control_c_precuneus_2_right
353	cerebrum_control_c_precuneus_3_right
354	cerebrum_control_c_precuneus_4_right
355	cerebrum_control_c_precuneus_5_right
356	cerebrum_control_c_posteriorCingulate_1_right
357	cerebrum_control_c_posteriorCingulate_2_right
358	cerebrum_default_a_temporal_1_right
359	cerebrum_default_a_inferiorParietalLobule_1_right
360	cerebrum_default_a_inferiorParietalLobule_2_right
361	cerebrum_default_a_dorsalPrefrontal_1_right
362	cerebrum_default_a_dorsalPrefrontal_2_right
363	cerebrum_default_a_precuneusPosteriorCingulate_1_right
364	cerebrum_default_a_precuneusPosteriorCingulate_2_right
365	cerebrum_default_a_precuneusPosteriorCingulate_3_right
366	cerebrum_default_a_precuneusPosteriorCingulate_4_right
367	cerebrum_default_a_precuneusPosteriorCingulate_5_right
368	cerebrum_default_a_medialPrefrontal_1_right
369	cerebrum_default_a_medialPrefrontal_2_right
370	cerebrum_default_a_medialPrefrontal_3_right
371	cerebrum_default_a_medialPrefrontal_4_right
372	cerebrum_default_a_medialPrefrontal_5_right
373	cerebrum_default_a_medialPrefrontal_6_right
374	cerebrum_default_b_temporal_1_right
375	cerebrum_default_b_temporal_2_right
376	cerebrum_default_b_anteriorTemporal_1_right
377	cerebrum_default_b_dorsalPrefrontal_1_right
378	cerebrum_default_b_dorsalPrefrontal_2_right
379	cerebrum_default_b_dorsalPrefrontal_3_right
380	cerebrum_default_b_dorsalPrefrontal_4_right
381	cerebrum_default_b_dorsalPrefrontal_5_right
382	cerebrum_default_b_ventralPrefrontal_1_right
383	cerebrum_default_b_ventralPrefrontal_2_right
384	cerebrum_default_b_ventralPrefrontal_3_right
385	cerebrum_default_c_inferiorParietalLobule_1_right
386	cerebrum_default_c_inferiorParietalLobule_2_right
387	cerebrum_default_c_retrosplenial_1_right
388	cerebrum_default_c_retrosplenial_2_right
389	cerebrum_default_c_parahippocampal_1_right
390	cerebrum_default_c_parahippocampal_2_right
391	cerebrum_temporalParietal_1_right
392	cerebrum_temporalParietal_2_right
393	cerebrum_temporalParietal_3_right
394	cerebrum_temporalParietal_4_right
395	cerebrum_temporalParietal_5_right
396	cerebrum_temporalParietal_6_right
397	cerebrum_temporalParietal_7_right
398	cerebrum_temporalParietal_8_right
399	cerebrum_temporalParietal_9_right
400	cerebrum_temporalParietal_10_right
401	cerebellum_1to4_left
402	cerebellum_1to4_right
403	cerebellum_5_left
404	cerebellum_5_right
405	cerebellum_6_left
406	cerebellum_6_vermis
407	cerebellum_6_right
408	cerebellum_crus1_left
409	cerebellum_crus1_vermis
410	cerebellum_crus1_right
411	cerebellum_crus2_left
412	cerebellum_crus2_vermis
413	cerebellum_crus2_right
414	cerebellum_7b_left
415	cerebellum_7b_vermis
416	cerebellum_7b_right
417	cerebellum_8a_left
418	cerebellum_8a_vermis
419	cerebellum_8a_right
420	cerebellum_8b_left
421	cerebellum_8b_vermis
422	cerebellum_8b_right
423	cerebellum_9_left
424	cerebellum_9_vermis
425	cerebellum_9_right
426	cerebellum_10_left
427	cerebellum_10_vermis
428	cerebellum_10_right
429	cerebellum_dentate_left
430	cerebellum_dentate_right
431	cerebellum_interposed_left
432	cerebellum_interposed_right
433	cerebellum_fastigial_left
434	cerebellum_fastigial_right
435	hippocampus_rostral_left
436	hippocampus_rostral_right
437	hippocampus_caudal_left
438	hippocampus_caudal_right
439	amygdala_medial_left
440	amygdala_medial_right
441	amygdala_lateral_left
442	amygdala_lateral_right
443	thalamus_primaryMotor_right
444	thalamus_sensory_right
445	thalamus_occipital_right
446	thalamus_prefrontal_right
447	thalamus_premotor_right
448	thalamus_posteriorParietal_right
449	thalamus_temporal_right
450	thalamus_primaryMotor_left
451	thalamus_sensory_left
452	thalamus_occipital_left
453	thalamus_prefrontal_left
454	thalamus_premotor_left
455	thalamus_posteriorParietal_left
456	thalamus_temporal_left
457	putamen_1_right
458	putamen_2_right
459	putamen_3_right
460	putamen_4_right
461	putamen_5_right
462	putamen_6_right
463	putamen_7_right
464	caudate_1_right
465	caudate_2_right
466	caudate_3_right
467	caudate_4_right
468	caudate_5_right
469	caudate_6_right
470	caudate_7_right
471	accumbens_1_right
472	accumbens_2_right
473	extended_amygdala_right
474	pallidum_externa_right
475	pallidum_interna_right
476	substantiaNigra_parsCompacta_right
477	redNucleus_right
478	substantiaNigra_parsReticulata_right
479	parabrachialPigmented_right
480	ventralPallidum_right
481	habenula_right
482	hypothalamus_right
483	mammilaryNucleus_right
484	subthalamicNucleus_right
485	putamen_1_left
486	putamen_2_left
487	putamen_3_left
488	putamen_4_left
489	putamen_5_left
490	putamen_6_left
491	putamen_7_left
492	caudate_1_left
493	caudate_2_left
494	caudate_3_left
495	caudate_4_left
496	caudate_5_left
497	caudate_6_left
498	caudate_7_left
499	accumbens_1_left
500	accumbens_2_left
501	extended_amygdala_left
502	pallidum_externa_left
503	pallidum_interna_left
504	substantiaNigra_parsCompacta_left
505	redNucleus_left
506	substantiaNigra_parsReticulata_left
507	parabrachialPigmented_left
508	ventralPallidum_left
509	habenula_left
510	hypothalamus_left
511	mammilaryNucleus_left
512	subthalamicNucleus_left
